代號,名稱,年/月,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,  新增投資－CFI,  出售投資－CFI,  購置不動產廠房設備（含預付）－CFI,  處分不動產廠房設備（含預付）－CFI,投資活動之現金流量,  現金增（減）資－CFF,  支付現金股利－CFF,籌資活動之現金流量,匯率影響數,本期產生現金流量,期初現金及約當現金,期末現金及約當現金
2891,中信金,23-Dec,"66,934,337","6,792,301","1,936,516","-16,537,839","-3,018,211","35,485","-2,937,149","12,795","-11,575,004",0,"-20,754,630","73,003,960","-2,039,916","42,851,201","522,661,164","565,512,365"
2891,中信金,23-Sep,"56,519,412","5,073,098","1,458,830","-113,901,703","-2,229,748","35,000","-1,781,824","6,062","-8,139,402",0,"-19,684,649","75,432,935","-1,306,676","-47,914,846","522,661,164","474,746,318"
2891,中信金,23-Jun,"32,840,988","3,355,956","993,728","-64,016,378","-1,929,997","35,000","-1,140,486","2,339","-4,878,872",0,"-100,849","56,506,856","-2,556,894","-14,945,288","522,661,164","507,715,876"
2891,中信金,23-Mar,"15,795,737","1,685,318","509,124","-148,521,602","-432,723",0,"-619,173",685,"-1,459,868",0,0,"51,200,012","-412,666","-99,194,124","522,661,164","423,467,040"
2891,中信金,22-Dec,"47,048,937","6,428,306","1,917,539","94,596,682","-2,736,135","2,400,000","-2,140,294","5,291","-13,332,653",0,"-25,538,754","9,586,879","3,319,410","94,170,318","428,490,846","522,661,164"
2891,中信金,22-Sep,"46,797,877","4,769,772","1,417,962","40,693,660","-2,575,789","60,000","-1,421,413","4,105","-7,162,532",0,"-25,538,780","34,260,902","609,124","68,401,154","428,490,846","496,892,000"
2891,中信金,22-Jun,"33,687,938","3,178,223","937,505","22,691,882","-496,568","60,000","-750,190","2,981","-3,468,730",0,"-97,538","44,902,728","-1,372,210","62,753,670","428,490,846","491,244,516"
2891,中信金,22-Mar,"21,066,966","1,579,798","466,138","-78,349,316","-15,144",0,"-381,806","1,528","-1,137,428",0,0,"57,768,281","1,348,988","-20,369,475","428,490,846","408,121,371"
2891,中信金,21-Dec,"62,044,158","6,125,560","1,741,508","-34,189,900","-3,043,049","900,496","-1,529,999","6,315","24,874,507",0,"-21,541,819","-4,780,295","-7,105,117","-21,200,805","449,691,651","428,490,846"
2891,中信金,21-Sep,"53,379,776","4,556,754","1,288,100","21,593,949","-5,959,013",503,"-977,185","1,797","-14,813,691",0,"-21,541,819","-32,936,361","-5,681,879","-31,837,982","449,691,651","417,853,669"
2891,中信金,21-Jun,"37,468,965","3,057,869","857,708","-10,446,959","-863,926",508,"-642,327",976,"-6,571,986",0,0,"-7,036,264","-4,957,113","-29,012,322","449,691,651","420,679,329"
2891,中信金,21-Mar,"22,554,392","1,540,690","429,980","-82,439,355","-751,561",520,"-284,643",313,"-5,906,340",0,0,"-1,446,796","-3,255,685","-93,048,176","449,691,651","356,643,475"
2891,中信金,20-Dec,"51,577,057","6,195,891","1,647,763","190,751,609","-3,799,797","22,221","-1,506,473","89,993","-12,224,156",0,"-20,486,315","-69,700,002","-1,458,869","107,368,582","342,323,069","449,691,651"
2891,中信金,20-Sep,"43,964,705","4,628,075","1,220,116","97,260,341","-2,774,823",0,"-1,073,674","107,656","-8,974,823",0,"-20,486,315","-18,096,791","-1,500,687","68,688,040","342,323,069","411,011,109"
2891,中信金,20-Jun,"25,393,438","3,078,080","801,892","-25,473,044","-2,205,354",0,"-694,968","11,654","-7,262,724",0,0,"13,543,942","-949,537","-20,141,363","342,323,069","322,181,706"
2891,中信金,20-Mar,"14,238,269","1,548,153","395,738","54,116,067","-2,235,841",0,"-383,137","10,534","-4,511,501",0,0,"-1,649,526","-667,301","47,287,739","342,323,069","389,610,808"
2891,中信金,19-Dec,"51,809,078","5,929,261","1,532,403","-47,096,732","-354,688","7,856,503","-3,303,050","2,180,383","-1,505,849","9,981,737","-20,246,982","30,924,974","-464,638","-18,142,245","360,465,314","342,323,069"
2891,中信金,19-Sep,"46,858,386","4,399,133","1,143,975","-33,565,608","-9,940","19,584","-2,470,468","1,342,150","-4,567,528","9,981,737","-20,246,982","45,473,809","2,010,061","9,350,734","360,465,314","369,816,048"
2891,中信金,19-Jun,"25,704,493","2,866,850","754,644","-39,545,687","-6,057","19,426","-1,694,829","140,531","-10,823,036","9,981,817",0,"66,705,572","2,320,994","18,657,843","360,465,314","379,123,157"
